accession	keywords	base_count	last_updated	first_public	description
AY750145		911	2006-07-20	2005-12-31	Drosophila bai alcohol dehydrogenase (Adh) gene, partial cds.
DQ471660		711	2006-07-20	2006-07-20	Drosophila hydei alcohol dehydrogenase (Adh) gene, partial cds.
AB026535	alcohol dehydrogenase	849	2005-04-14	1999-10-29	Drosophila sturtevanti gene for alcohol dehydrogenase, partial cds.
AY750119		911	2006-07-20	2005-12-31	Drosophila tsigana alcohol dehydrogenase (Adh) gene, partial cds.
AY750131		911	2006-07-20	2005-12-31	Drosophila yunnanensis alcohol dehydrogenase (Adh) gene, partial cds.
DQ471631		711	2006-07-20	2006-07-20	Drosophila beppui alcohol dehydrogenase (Adh) gene, partial cds.
HQ631475		290	2012-01-02	2011-08-30	Drosophila jambulina alcohol dehydrogenase (adh) gene, partial cds.
HQ631480		290	2012-01-02	2011-08-30	Drosophila ohnishii alcohol dehydrogenase (adh) gene, partial cds.
U63563		898	2005-04-18	1996-09-13	Drosophila affinidisjuncta alcohol dehydrogenase (Adh) mRNA, complete cds.
AF059888		290	2005-04-15	1998-04-28	Drosophila funebris alcohol dehydrogenase (Adh) gene, partial cds.
AF081357		425	2005-04-15	1999-01-18	Drosophila tolteca alcohol dehydrogenase (Adh) gene, partial cds.
AY006418		510	2005-09-26	2001-09-04	Drosophila cyrtoloma alcohol dehydrogenase (Adh) gene, partial cds.
AY750137		911	2006-07-20	2005-12-31	Drosophila pseudosordidula alcohol dehydrogenase (Adh) gene, partial cds.
HQ631478		290	2012-01-02	2011-08-30	Drosophila madikerii alcohol dehydrogenase (adh) gene, partial cds.
M36580	alcohol dehydrogenase	2686	2006-11-14	1990-08-30	D.melanogaster alcohol dehydrogenase (Adh) gene, complete cds.
M60998	alcohol dehydrogenase, alternative splicing	3461	2006-11-14	1992-04-30	Drosophila miranda alcohol dehydrogenase (adh) gene, complete cds.
X68164	alcohol dehydrogenase	3443	2006-11-14	1992-10-08	D.pseudoobscura Adh gene for alcohol dehydrogenase (PS309)
AY750120		911	2006-07-20	2005-12-31	Drosophila tsigana alcohol dehydrogenase (Adh) gene, partial cds.
AY750126		911	2006-07-20	2005-12-31	Drosophila polychaeta alcohol dehydrogenase (Adh) gene, partial cds.
AY750141		911	2006-07-20	2005-12-31	Drosophila bai alcohol dehydrogenase (Adh) gene, partial cds.
DQ471635		711	2006-07-20	2006-07-20	Drosophila quadrisetata alcohol dehydrogenase (Adh) gene, partial cds.
DQ471637		711	2006-07-20	2006-07-20	Drosophila velox alcohol dehydrogenase (Adh) gene, partial cds.
DQ471663		711	2006-07-20	2006-07-20	Drosophila lummei alcohol dehydrogenase (Adh) gene, partial cds.
U26844		950	2005-04-17	1995-07-05	Drosophila texana alcohol dehydrogenase (Adh) gene, complete cds.
U26841		957	2005-04-17	1995-06-30	Drosophila lacicola alcohol dehydrogenase (Adh) gene, complete cds.
GQ376033		410	2009-08-03	2009-08-02	Drosophila bunnanda alcohol dehydrogenase (ADH) gene, partial cds.
AB261139		845	2007-11-03	2007-11-03	Drosophila guttifera Adh gene for alcohol dehydrogenase, partial cds.
AB932657		824	2014-10-26	2014-10-26	Drosophila ornatifrons Adh gene for alcohol dehydrogenase, partial cds.
AB932665		857	2015-01-14	2015-01-14	Drosophila orientacea Adh gene for alcohol dehydrogenase, partial cds.
AB932675		849	2014-10-26	2014-10-26	Drosophila subpalustris Adh gene for alcohol dehydrogenase, partial cds.
M37262	alcohol dehydrogenase	3886	2006-11-14	1990-09-07	D.affinidisjuncta alcohol dehydrogenase (adh) gene, exons 1-4.
U95253		1172	2005-04-18	1999-01-06	Drosophila willistoni W3L alcohol dehydrogenase (Adh) gene, complete cds.
X57375	ADH gene, alcohol dehydrogenase	975	2006-11-14	1991-07-17	Drosophila yakuba (individual k) Adh gene for alcohol dehydrogenase
AB033643	alcohol dehydrogenase	711	2006-07-17	1999-11-16	Drosophila funebris Adh mRNA for alcohol dehydrogenase, partial cds.
AB932649		1100	2015-01-14	2015-01-14	Drosophila brachynephros Adh gene for alcohol dehydrogenase, partial cds.
U26846		13087	2006-11-14	1995-06-22	Drosophila virilis alcohol dehydrogenase (Adh-1) gene, complete cds.
U76468		899	2005-04-18	1996-11-19	Drosophila eohydei alcohol dehydrogenase (Adh-Finnegan) gene, partial cds.
X57369	ADH gene, alcohol dehydrogenase	975	2006-11-14	1991-07-17	Drosophila yakuba (individual e) Adh gene for alcohol dehydrogenase
AB033641	alcohol dehydrogenase	711	2006-07-17	1999-11-16	Drosophila polychaeta Adh mRNA for alcohol dehydrogenase, partial cds.
AB932656		845	2014-10-26	2014-10-26	Drosophila funebris Adh gene for alcohol dehydrogenase, partial cds.
AB932658		845	2014-10-26	2014-10-26	Drosophila guttifera Adh gene for alcohol dehydrogenase, partial cds.
AB932667		822	2014-10-26	2014-10-26	Drosophila phalerata Adh gene for alcohol dehydrogenase, partial cds.
AF260697		463	2005-04-15	2000-09-20	Drosophila mulleri alcohol dehydrogenase-related protein gene, partial cds.
EU532131		560	2010-01-21	2010-01-21	Drosophila tropicalis tropicalis alcohol dehydrogenase (Adh) gene, partial cds.
KM016466		476	2014-09-24	2014-09-24	Drosophila simulans isolate KY03 alcohol dehydrogenase-related gene, intron.
LC578831		706	2022-04-25	2022-04-03	Drosophila palustris Adh gene for alcohol dehydrogenase, partial cds.
EU532132		590	2010-01-21	2010-01-21	Drosophila tropicalis cubana alcohol dehydrogenase (Adh) gene, partial cds.
U95255		1174	2005-04-18	1999-01-06	Drosophila willistoni Atlixco alcohol dehydrogenase (Adh) gene, complete cds.
U26840		957	2005-04-17	1995-06-30	Drosophila lacicola alcohol dehydrogenase (Adh-2) gene, complete cds.
X57373	ADH gene, alcohol dehydrogenase	975	2006-11-14	1991-07-17	Drosophila yakuba (individual i) Adh gene for alcohol dehydrogenase
AB154542		683	2005-04-14	2004-04-01	Drosophila kikkawai gene for alcohol dehydrogenase, partial cds, isolate:DkikAdh01.
AB154550		686	2005-04-14	2004-04-01	Drosophila kikkawai gene for alcohol dehydrogenase, partial cds, isolate:DkikAdh09.
AB154556		686	2005-04-14	2004-04-01	Drosophila kikkawai gene for alcohol dehydrogenase, partial cds, isolate:DkikAdh15.
AY095949		430	2008-12-16	2003-05-01	Drosophila phalerata isolate pha3 alcohol dehydrogenase (Adh) gene, partial cds.
AY335197		781	2005-04-16	2003-12-31	Drosophila sucinea clone Dsuc3 alcohol dehydrogenase (Adh) gene, partial cds.
DQ471615		711	2006-07-20	2006-07-20	Drosophila angor strain E132 alcohol dehydrogenase (Adh) gene, partial cds.
EU532127		587	2010-01-21	2010-01-21	Drosophila paulistorum from Guyana alcohol dehydrogenase (Adh) gene, partial cds.
JX455218		480	2014-01-02	2012-09-03	Drosophila simulans isolate HW49 alcohol dehydrogenase (Adhr) gene, intron 1.
KX976502		771	2016-11-12	2016-11-12	Drosophila yakuba isolate Yakuba_Anton_2_Principe alcohol dehydrogenase (Adh) mRNA, complete cds.
U95261		1172	2005-04-18	1999-01-06	Drosophila willistoni Manaus I alcohol dehydrogenase (Adh) gene, complete cds.
AF201430		480	2006-11-14	2000-07-03	Drosophila simulans isolate HW00 alcohol dehydrogenase (Adhr) gene, intron 1.
AF284475		701	2006-11-14	2000-11-02	Drosophila mauritiana strain 152 alcohol dehydrogenase (Adh) gene, partial cds.
AF284479		703	2006-11-14	2000-11-02	Drosophila mauritiana strain Lig74 alcohol dehydrogenase (Adh) gene, partial cds.
DQ471650		711	2006-07-20	2006-07-20	Drosophila yunnanensis strain 244 alcohol dehydrogenase (Adh) gene, partial cds.
HQ110510		794	2011-06-02	2011-05-06	Drosophila nebulosa isolate D_nebu_c2 alcohol dehydrogenase (Adh) gene, partial cds.
X78917	ADH gene, alcohol dehydrogenase	96	2008-10-23	1994-05-03	D.melanogaster Adh gene (fn46 mutant) for alcohol dehydrogenase (partial)
AB154560		683	2005-04-14	2004-04-01	Drosophila kikkawai gene for alcohol dehydrogenase, partial cds, isolate:DkikAdh19.
AY095944		443	2008-12-16	2003-05-01	Drosophila curvispina isolate cur4 alcohol dehydrogenase (Adh) gene, partial cds.
DQ471651		711	2006-07-20	2006-07-20	Drosophila lacertosa strain 239 alcohol dehydrogenase (Adh) gene, partial cds.
EU532130		588	2010-01-21	2010-01-21	Drosophila paulistorum from Colombia alcohol dehydrogenase (Adh) gene, partial cds.
HQ110509		794	2011-06-02	2011-05-06	Drosophila nebulosa isolate D_nebu_c1 alcohol dehydrogenase (Adh) gene, partial cds.
JX455217		480	2014-01-02	2012-09-03	Drosophila simulans isolate HW48 alcohol dehydrogenase (Adhr) gene, intron 1.
KX375415		1022	2017-01-03	2017-01-03	Drosophila biarmipes strain IND_DBR_U4 alcohol dehydrogenase (Adh) gene, complete cds.
KX976498		771	2016-11-12	2016-11-12	Drosophila yakuba isolate Yakuba_SanTome_city alcohol dehydrogenase (Adh) mRNA, complete cds.
KX976517		771	2016-11-12	2016-11-12	Drosophila yakuba isolate Yakuba_3_2 alcohol dehydrogenase (Adh) mRNA, complete cds.
M22210	alcohol dehydrogenase	2075	2006-11-14	1991-07-01	D.melanogaster thermostable FAST alcohol dehydrogenase allele gene, complete cds.
M60979	alcohol dehydrogenase, alternative splicing	3481	2006-11-14	1992-04-30	Drosophila pseudoobscura (strain AH43) alcohol dehydrogenase (adh) gene, complete cds.
M62851	alcohol dehydrogenase II	924	2006-11-14	1991-04-10	D.wheeleri alcohol dehydrogenase-2 (ADH-2) gene, complete cds.
X60112	ADH gene, alcohol dehydrogenase	3881	2006-11-14	1993-08-25	D.madeirensis Adh and Adh-dup genes for alcohol dehydrogenase
M62741	alcohol dehydrogenase II	909	2006-11-14	1991-07-11	D.arizonae alcohol dehydrogenase-2 (ADH-2) gene, complete cds.
DQ471626		711	2006-07-20	2006-07-20	Drosophila polychaeta strain X115 alcohol dehydrogenase (Adh) gene, partial cds.
JX455214		480	2014-01-02	2012-09-03	Drosophila simulans isolate HW05 alcohol dehydrogenase (Adhr) gene, intron 1.
KX976487		771	2016-11-12	2016-11-12	Drosophila yakuba isolate Yakuba_SJ_1 alcohol dehydrogenase (Adh) mRNA, complete cds.
KX976488		771	2016-11-12	2016-11-12	Drosophila yakuba isolate Yakuba_SJ4 alcohol dehydrogenase (Adh) mRNA, complete cds.
KX976516		771	2016-11-12	2016-11-12	Drosophila yakuba isolate Yakuba_1_6 alcohol dehydrogenase (Adh) mRNA, complete cds.
KX976507		771	2016-11-12	2016-11-12	Drosophila yakuba isolate Yakuba_BAR_1000_2 alcohol dehydrogenase (Adh) mRNA, complete cds.
U95262		1172	2005-04-18	1999-01-06	Drosophila willistoni Manaus II alcohol dehydrogenase (Adh) gene, complete cds.
U95264		1172	2005-04-18	1999-01-06	Drosophila willistoni Manaus IV alcohol dehydrogenase (Adh) gene, complete cds.
X60113	ADH gene, alcohol dehydrogenase	4433	2006-11-14	1993-08-25	D.guanche Adh and Adh-dup genes for alcohol dehydrogenase
AB669832		837	2014-01-02	2014-01-02	Drosophila neoasahinai Adh gene for alcohol dehydrogenase, partial cds, strain: OKNH2K.
AB669866		832	2014-01-02	2014-01-02	Drosophila leontia Adh gene for alcohol dehydrogenase, partial cds, strain: SWB196.
AF136657		884	2005-04-15	1999-06-03	Drosophila americana americana G96.36X alcohol dehydrogenase (Adh) gene, partial cds.
AF175219		951	1999-12-21	1999-10-06	Drosophila melanogaster alcohol dehydrogenase (Adh) gene, Adh-k37 allele, complete cds.
AF459757		290	2006-11-14	2002-05-16	Drosophila greeni alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.
KJ767238		872	2014-10-29	2014-09-04	Drosophila melanogaster strain Canton S alcohol dehydrogenase (Adh) gene, partial cds.
L78920	alcohol dehydrogenase	822	2005-04-17	1996-06-25	Drosophila mimica (strain 15292-2561.0) alcohol dehydrogenase gene, partial cds.
M97638	alcohol dehydrogenase	3142	2006-11-14	1993-06-05	Drosophila immigrans alcohol dehydrogenase (Adh and Adh-dup) genes, complete cds.
AB669851		831	2014-01-02	2014-01-02	Drosophila jambulina Adh gene for alcohol dehydrogenase, partial cds, strain: F76.
AF459776		290	2006-11-14	2002-05-16	Drosophila tsacasi alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.
AF459777		290	2006-11-14	2002-05-16	Drosophila baimaii alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.
EF216311		370	2010-09-07	2007-06-10	Drosophila microlabis alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.
L78925	alcohol dehydrogenase	822	2005-04-17	1996-06-25	Drosophila mimica (strain 15292-2561.5) alcohol dehydrogenase gene, partial cds.
U64530		3456	2005-04-18	1996-08-16	Drosophila pseudoobscura alcohol dehydrogenase (Adh) gene, Adh-PS254 allele, complete cds.
AB669826		843	2014-01-02	2014-01-02	Drosophila auraria Adh gene for alcohol dehydrogenase, partial cds, strain: A662.
AB669831		838	2014-01-02	2014-01-02	Drosophila neoasahinai Adh gene for alcohol dehydrogenase, partial cds, strain: KMJM37.
AB669836		842	2014-01-02	2014-01-02	Drosophila subauraria Adh gene for alcohol dehydrogenase, partial cds, strain: KT4.
AB669837		842	2014-01-02	2014-01-02	Drosophila subauraria Adh gene for alcohol dehydrogenase, partial cds, strain: ONM29.
AB669856		826	2014-01-02	2014-01-02	Drosophila watanabei Adh gene for alcohol dehydrogenase, partial cds, strain: SWB248.
AB669869		837	2014-01-02	2014-01-02	Drosophila ogumai Adh gene for alcohol dehydrogenase, partial cds, strain: RGN3.
AB669871		844	2014-01-02	2014-01-02	Drosophila ohnishii Adh gene for alcohol dehydrogenase, partial cds, strain: MMY309.
AB669879		839	2014-01-02	2014-01-02	Drosophila serrata Adh gene for alcohol dehydrogenase, partial cds, strain: Q122.
AF136662		884	2005-04-15	1999-06-03	Drosophila americana americana G96.46X alcohol dehydrogenase (Adh) gene, partial cds.
AF136680		884	2005-04-15	1999-06-03	Drosophila americana americana G96.21Y alcohol dehydrogenase (Adh) gene, partial cds.
AF136690		884	2005-04-15	1999-06-03	Drosophila americana americana G96.48Y alcohol dehydrogenase (Adh) gene, partial cds.
AF136707		884	2005-04-15	1999-06-03	Drosophila americana texana LP97.07 alcohol dehydrogenase (Adh) gene, partial cds.
AF175214		951	1999-12-21	1999-10-06	Drosophila melanogaster alcohol dehydrogenase (Adh) gene, Adh-h21 allele, complete cds.
AF201424		494	2006-11-14	2000-07-03	Drosophila melanogaster isolate Zimbabwe 53 alcohol dehydrogenase (Adhr) gene, intron 1.
AF459744		290	2006-11-14	2002-05-16	Drosophila affinis alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.
AF459755		290	2006-11-14	2002-05-16	Drosophila varians alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.
AF459773		290	2006-11-14	2002-05-16	Drosophila quadraria alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.
AF459778		290	2006-11-14	2002-05-16	Drosophila biauraria alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.
AF459782		290	2006-11-14	2002-05-16	Drosophila parvula alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.
AM181670	adh gene, alcohol dehydrogenase	628	2006-11-14	2006-02-15	Drosophila gunungcola partial adh gene for alcohol dehydrogenase, exons 1-3
EU999243		845	2008-09-09	2008-09-09	Drosophila americana isolate FP99.45 alcohol dehydrogenase (Adh) gene, partial cds.
L78921	alcohol dehydrogenase	822	2005-04-17	1996-06-25	Drosophila mimica (strain 15292-2561.1) alcohol dehydrogenase gene, partial cds.
U64540		3475	2005-04-18	1996-08-16	Drosophila pseudoobscura alcohol dehydrogenase (Adh) gene, Adh-PS296 allele, complete cds.
U64552		3490	2005-04-18	1996-08-16	Drosophila pseudoobscura alcohol dehydrogenase (Adh) gene, Adh-PS336 allele, complete cds.
AF136685		884	2005-04-15	1999-06-03	Drosophila americana americana G96.36Y alcohol dehydrogenase (Adh) gene, partial cds.
AF136691		884	2005-04-15	1999-06-03	Drosophila americana americana G96.10Y alcohol dehydrogenase (Adh) gene, partial cds.
AF459769		290	2006-11-14	2002-05-16	Drosophila barbarae alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.
AF459770		290	2006-11-14	2002-05-16	Drosophila birchii alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.
AB669846		835	2014-01-02	2014-01-02	Drosophila seguyi Adh gene for alcohol dehydrogenase, partial cds, strain: K59.
AB669854		836	2014-01-02	2014-01-02	Drosophila punjabiensis Adh gene for alcohol dehydrogenase, partial cds, strain: NHO122.
EF560578		624	2008-07-12	2008-05-01	Drosophila viracochi pop-variant Bogota alcohol dehydrogenase (adh) gene, partial cds.
U64541		3500	2005-04-18	1996-08-16	Drosophila pseudoobscura alcohol dehydrogenase (Adh) gene, Adh-PS301 allele, complete cds.
AF459779		290	2006-11-14	2002-05-16	Drosophila kanapiae alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.
AF136669		884	2005-04-15	1999-06-03	Drosophila americana americana G96.27X alcohol dehydrogenase (Adh) gene, partial cds.
U64525		3472	2005-04-18	1996-08-16	Drosophila pseudoobscura alcohol dehydrogenase (Adh) gene, Adh-PS236 allele, complete cds.
U64534		3477	2005-04-18	1996-08-16	Drosophila pseudoobscura alcohol dehydrogenase (Adh) gene, Adh-PS268 allele, complete cds.
U76472		897	2005-04-18	1996-11-19	Drosophila hydei strain 4 alcohol dehydrogenase (Adh-Finnegan) gene, partial cds.
AF136679		884	2005-04-15	1999-06-03	Drosophila americana americana D.am-.0Y alcohol dehydrogenase (Adh) gene, partial cds.
AY541090		555	2005-08-24	2004-12-13	Drosophila innubila strain CH1_M3 alcohol dehydrogenase-related protein (Adhr) gene, partial cds.
AY541213		554	2005-08-04	2005-03-01	Drosophila falleni strain Roc_M3 alcohol dehydrogenase-related protein (Adhr) gene, partial cds.
LC057204		838	2019-06-04	2019-06-04	Drosophila sp. 14028-0511.00 Adh gene for alcohol dehydrogenase, partial cds.
AY364507		880	2005-04-16	2004-01-30	Drosophila mojavensis strain MJS 133 alcohol dehydrogenase 1 (Adh1) gene, complete cds.
AY364517		879	2005-04-16	2004-01-30	Drosophila mojavensis strain MJS 122 alcohol dehydrogenase-2 (Adh2) gene, complete cds.
AY541091		555	2005-08-24	2004-12-13	Drosophila innubila strain CH1_M4 alcohol dehydrogenase-related protein (Adhr) gene, partial cds.
AY541092		555	2005-08-24	2004-12-13	Drosophila innubila strain CH2_M25 alcohol dehydrogenase-related protein (Adhr) gene, partial cds.
AB669860		831	2014-01-02	2014-01-02	Drosophila bocki Adh gene for alcohol dehydrogenase, partial cds, strain: IR2-37.
AB669867		844	2014-01-02	2014-01-02	Drosophila lini Adh gene for alcohol dehydrogenase, partial cds, strain: BG3146.1.
AB669884		841	2014-01-02	2014-01-02	Drosophila fengkainensis Adh gene for alcohol dehydrogenase, partial cds, strain: const-MTK.
AB669893		830	2014-01-02	2014-01-02	Drosophila truncata Adh gene for alcohol dehydrogenase, partial cds, strain: RGN10 D225.
AB703315		405	2012-03-18	2012-03-18	Drosophila affinis Adh gene for alcohol dehydrogenase, partial cds, clone: D.affinis.
AH011593		566	2016-04-08	2016-04-08	Drosophila eugracilis strain 4026-0451.0 alcohol dehydrogenase (Adh) gene, partial cds.
AY340282		881	2005-04-16	2003-08-13	Drosophila americana pop-variant DN01.02X alcohol dehydrogenase (Adh) gene, partial cds.
AY364496		880	2005-04-16	2004-01-30	Drosophila mojavensis strain MJS 68 alcohol dehydrogenase 1 (Adh1) gene, complete cds.
AY364498		880	2005-04-16	2004-01-30	Drosophila mojavensis strain MJS 93 alcohol dehydrogenase 1 (Adh1) gene, complete cds.
AY364518		879	2005-04-16	2004-01-30	Drosophila mojavensis strain MJS 154 alcohol dehydrogenase-2 (Adh2) gene, complete cds.
AY541098		555	2005-08-24	2004-12-13	Drosophila innubila strain CH3_M78 alcohol dehydrogenase-related protein (Adhr) gene, partial cds.
AY541099		555	2005-08-24	2004-12-13	Drosophila innubila strain CH4_M1 alcohol dehydrogenase-related protein (Adhr) gene, partial cds.
EF216310		429	2010-09-07	2007-06-10	Drosophila dianensis alcohol dehydrogenase (Adh) gene, exons 2, 3 and partial cds.
M60989	alcohol dehydrogenase, alternative splicing	3479	2008-10-03	1992-01-26	Drosophila pseudoobscura (subsp. bogotana, strain BOGER) alcohol dehydrogenase (adh) gene, complete cds.
AY541094		522	2005-08-24	2004-12-13	Drosophila innubila strain CH2_M4 alcohol dehydrogenase-related protein (Adhr) gene, partial cds.
X54813	ADH gene, alcohol dehydrogenase	4185	2006-11-14	1991-07-23	D.ambigua gene for alcohol dehydrogenase (ADH) (EC 1.1.1.1)
AY340281		881	2005-04-16	2003-08-13	Drosophila americana pop-variant DN01.01X alcohol dehydrogenase (Adh) gene, partial cds.
KJ767241		868	2014-10-29	2014-09-04	Drosophila simulans strain 14021-0251.167 alcohol dehydrogenase (Adh) gene, partial cds.
LC057199		831	2019-06-04	2019-06-04	Drosophila trilutea Adh gene for alcohol dehydrogenase, partial cds, strain: VT05-ST.
AY874375		1406	2005-05-31	2005-05-31	Drosophila subobscura strain line 36 alcohol dehydrogenase (Adh-Twain) gene, partial cds.
AY874363		1425	2005-05-31	2005-05-31	Drosophila subobscura strain line 3a alcohol dehydrogenase (Adh-Twain) gene, partial cds.
U76482		902	2005-04-18	1997-03-06	Drosophila mulleri strain -1371.19 alcohol dehydrogenase (Adh-Finnegan) gene, partial cds.
AY154850		878	2005-04-16	2003-03-03	Drosophila arizonae strain AR00 14 alcohol dehydrogenase 2 (Adh-2) gene, complete cds.
AY154861		880	2005-04-16	2003-03-03	Drosophila arizonae strain ARTU 34 alcohol dehydrogenase 1 (Adh-1) gene, complete cds.
AB669842		830	2014-01-02	2014-01-02	Drosophila greeni Adh gene for alcohol dehydrogenase, partial cds, strain: 14028-0712.00.
AY044126		725	2006-11-14	2002-08-06	Drosophila albomicans alcohol dehydrogenase (Adh) gene, exons 2 and 3 and partial cds.
LC057198		830	2019-06-04	2019-06-04	Drosophila takahashii Adh gene for alcohol dehydrogenase, partial cds, strain: 14022-0311.06.
M17834	alcohol dehydrogenase, dehydrogenase	2769	2006-11-14	1991-07-01	D.melanogaster (strain Fr-F) alcohol dehydrogenase gene (allele Adh-F), complete cds.
M17837	alcohol dehydrogenase, dehydrogenase	7242	2006-11-14	1991-07-01	D.melanogaster (strain Ja-F) alcohol dehydrogenase gene (allele Adh-F), complete cds.
AB932668		833	2014-10-26	2014-10-26	Drosophila polymorpha Adh gene for alcohol dehydrogenase, partial cds, strain: 15181-2231.00.
AB932670		851	2014-10-26	2014-10-26	Drosophila quinaria Adh gene for alcohol dehydrogenase, partial cds, strain: E-17701-1.
AY044122		722	2006-11-14	2002-08-06	Drosophila annulipes alcohol dehydrogenase (Adh) gene, exons 2 and 3 and partial cds.
AY154847		878	2005-04-16	2003-03-03	Drosophila arizonae strain AR00 1 alcohol dehydrogenase 2 (Adh-2) gene, complete cds.
AY154855		880	2005-04-16	2003-03-03	Drosophila arizonae strain AR00 6 alcohol dehydrogenase 1 (Adh-1) gene, complete cds.
AY154857		880	2005-04-16	2003-03-03	Drosophila arizonae strain AR00 14 alcohol dehydrogenase 1 (Adh-1) gene, complete cds.
AY154860		880	2005-04-16	2003-03-03	Drosophila arizonae strain ARTU 24 alcohol dehydrogenase 1 (Adh-1) gene, complete cds.
AY154869		880	2005-04-16	2003-03-03	Drosophila mojavensis strain MJBC 80 alcohol dehydrogenase 2 (Adh-2) gene, complete cds.
M17831	alcohol dehydrogenase, dehydrogenase	2726	2006-11-14	1991-07-01	D.melanogaster (strain Fl-2S) alcohol dehydrogenase gene (allele Adh-S), complete cds.
M60990		3472	2006-11-14	1992-04-30	Drosophila pseudoobscura bogotana strain BOG 3389.1 alcohol dehydrogenase (adh) gene, complete cds.
AB669862		829	2014-01-02	2014-01-02	Drosophila diplacantha Adh gene for alcohol dehydrogenase, partial cds, strain: 14028-0586.00.
DQ471609		711	2006-07-20	2006-07-20	Drosophila cf. cheda BCW-2006 strain 241 alcohol dehydrogenase (Adh) gene, partial cds.
AB669885		838	2014-01-02	2014-01-02	Drosophila kanapiae Adh gene for alcohol dehydrogenase, partial cds, strain: 14028-0541.00.
AF067282		437	2006-11-14	1998-07-02	Drosophila helvetica alcohol dehydrogenase (Adh) gene, exons 2 and 3 and partial cds.
AF045115		405	2006-11-14	1998-06-02	Drosophila sturtevanti strain 14043-0871.2 alcohol dehydrogenase (Adh) gene, exon2 and partial cds.
AF045122		405	2006-11-14	1998-06-02	Drosophila lusaltans strain 14045-0891.0 alcohol dehydrogenase (Adh) gene, exon2 and partial cds.
AY154829		880	2005-04-16	2003-03-03	Drosophila mojavensis strain MJBC 35.1 alcohol dehydrogenase 1 (Adh-1) gene, complete cds.
